幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.84500,32.19500,32.16500,32.06900,31.92900,31.80600,31.67500,31.54000,31.42200,本行賣出,32.51500,32.29500,32.27000,32.18200,32.05500,31.94000,31.82200,31.69700,31.58800,
HKD,本行買入,3.96700,4.09300,4.09000,4.08300,4.07100,4.06000,4.04600,4.03200,4.01800,本行賣出,4.17100,4.15300,4.15100,4.14600,4.13500,4.12300,4.11100,4.09800,4.08600,
GBP,本行買入,37.96000,38.97000,38.91600,38.80700,38.64500,38.48700,38.32200,38.15700,37.99100,本行賣出,40.08000,39.37000,39.32700,39.24100,39.08000,38.93400,38.78500,38.63600,38.48700,
AUD,本行買入,20.18000,20.47000,20.44800,20.40500,20.34600,20.29000,20.23200,20.17000,20.10500,本行賣出,20.96000,20.67000,20.65600,20.62700,20.56800,20.51500,20.46400,20.41000,20.35200,
CAD,本行買入,23.35000,23.75000,23.72000,23.66000,23.57600,23.49600,23.41400,23.33100,23.24800,本行賣出,24.26000,23.95000,23.92900,23.88600,23.80100,23.72700,23.65200,23.57700,23.50100,
SGD,本行買入,22.95000,23.44000,23.41500,23.36500,23.30500,23.25000,23.19200,23.13500,23.07700,本行賣出,23.86000,23.62000,23.60600,23.57900,23.51800,23.46500,23.41700,23.36800,23.32000,
CHF,本行買入,34.33000,35.01000,34.99600,34.96900,34.94500,34.92200,34.90100,34.88000,34.85900,本行賣出,35.53000,35.26000,35.26200,35.26500,35.24100,35.22200,35.21400,35.20600,35.19480,
JPY,本行買入,0.20710,0.21440,0.21440,0.21450,0.21470,0.21490,0.21510,0.21530,0.21540,本行賣出,0.21990,0.21840,0.21850,0.21880,0.21900,0.21920,0.21950,0.21990,0.22020,
ZAR,本行買入,0.00000,1.64900,1.64500,1.63700,1.62600,1.61500,1.60400,1.59300,1.58200,本行賣出,0.00000,1.72900,1.72600,1.71900,1.70800,1.69800,1.68700,1.67700,1.66700,
SEK,本行買入,2.54000,2.88000,2.87700,2.87200,2.86400,2.85600,2.84900,2.84200,2.83500,本行賣出,3.06000,2.98000,2.97800,2.97500,2.96800,2.96100,2.95500,2.94900,2.94300,
NZD,本行買入,18.63000,19.01000,18.98200,18.92600,18.85100,18.78100,18.70500,18.62900,18.55300,本行賣出,19.48000,19.21000,19.19100,19.15400,19.08000,19.01200,18.94300,18.87500,18.80700,
THB,本行買入,0.75440,0.86680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.94440,0.90680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.50040,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00243,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.23000,33.85000,33.82500,33.77500,33.67100,33.58400,33.50000,33.41600,33.27900,本行賣出,34.57000,34.25000,34.22300,34.17000,34.08000,34.01900,33.95400,33.88800,33.82200,
KRW,本行買入,0.02215,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02605,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.81100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.33100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.31200,4.38400,4.37820,4.36660,4.35420,4.34160,4.33250,4.31910,4.31420,本行賣出,4.47400,4.43400,4.43050,4.42340,4.41310,4.40350,4.39720,4.39080,4.38440,
