監測站,監測站(英文),監測值(微西弗/時),時間,GPS經度,GPS緯度
磺潭,HWANGTAN,0.048,2023-09-20 13:50,121.6466,25.199527
清華大學,NTHU,0.035,2023-09-20 13:50,120.991312,24.790929
石門水庫,SHIMEN_RES,0.044,2023-09-20 13:50,121.240141,24.811191
彭佳嶼,PENGCHIAYU,0.064,2023-09-20 13:50,122.081985,25.628234
石門,SHIHMAN,0.052,2023-09-20 13:45,121.562988,25.291137
三芝,SHANGI,0.052,2023-09-20 13:50,121.515937,25.233671
石崩山,SHIHBENGSHAN,0.039,2023-09-20 13:50,121.56578,25.263563
茂林,MAOLIN,0.036,2023-09-20 13:45,121.590904,25.270145
金山,CHINSHAN,0.049,2023-09-20 13:50,121.63533,25.221122
野柳,YEHLIU,0.049,2023-09-20 13:50,121.689033,25.206315
大鵬,TAPERNG,0.050,2023-09-20 13:45,121.651535,25.208221
陽明山,YANGMINSHAN,0.041,2023-09-20 13:45,121.54441,25.162351
大坪,TAPING,0.070,2023-09-20 13:50,121.638763,25.167714
萬里,WANLI,0.048,2023-09-20 13:50,121.688049,25.176182
台北,TAIPEI,0.054,2023-09-20 13:50,121.573898,25.079105
新店,XINDIAN,0.058,2023-09-20 13:50,121.524906,24.959816
宜蘭,ILAN,0.055,2023-09-20 13:45,121.756317,24.763992
龍潭,LUNGTAN,0.053,2023-09-20 13:50,121.240348,24.84012
台中,TAICHUNG,0.060,2023-09-20 13:45,120.684219,24.145994
玉里,YULI,0.041,2023-09-20 13:50,121.3183,23.324514
台東,TAITUNG,0.040,2023-09-20 13:50,121.154548,22.752316
大武,DAWU,0.057,2023-09-20 13:45,120.903655,22.3556
綠島,LYUDAO,0.035,2023-09-20 13:45,121.494251,22.674938
高雄,KAOHSIUNG,0.047,2023-09-20 13:45,120.347765,22.650428
林園,LINYUAN,0.046,2023-09-20 13:45,120.406889,22.499512
牡丹水庫,MUDAN,0.046,2023-09-20 13:50,120.784851,22.128439
恆春,HENGCHUN,0.043,2023-09-20 13:50,120.746734,22.003791
龍泉,LUNGCHUAN,0.046,2023-09-20 13:45,120.72982,21.980592
大光,TAKUANG,0.056,2023-09-20 13:50,120.740501,21.951402
墾丁,KENTING,0.038,2023-09-20 13:50,120.801422,21.945169
後壁湖,HOUBIHU,0.041,2023-09-20 13:50,120.743415,21.944574
澳底,AODI,0.043,2023-09-20 13:50,121.923811,25.047575
貢寮,GONGLIAO,0.045,2023-09-20 13:50,121.919738,25.010583
阿里山,ALISHAN,0.102,2023-09-20 13:45,120.813278,23.508199
金門氣象站,KINMEN,0.086,2023-09-20 13:50,118.288833,24.407687
榮湖淨水廠,RONGHU,0.029,2023-09-20 13:50,118.40886,24.488347
椰油,YEYOU,0.035,2023-09-20 13:45,121.511967,22.049497
新營,SINYING,0.064,2023-09-20 13:50,120.28123,23.303363
台南,TAINAN,0.064,2023-09-20 13:50,120.236724,23.037656
南化水庫,NANHUA,0.042,2023-09-20 13:50,120.536908,23.086108
雙溪,SHUANGSI,0.071,2023-09-20 13:50,121.862747,25.03516
新竹,HSINCHU,0.058,2023-09-20 13:50,120.993125,24.78413
花蓮,HUALINE,0.033,2023-09-20 13:50,121.613143,23.975212
澎湖,PENGHU,0.038,2023-09-20 13:45,119.563316,23.565568
七美,CIMEI,0.045,2023-09-20 13:50,119.433548,23.209926
東引,DONGYIN,0.041,2023-09-20 13:50,120.492577,26.368233
馬祖,MATZU,0.048,2023-09-20 13:50,119.922923,26.169112
滿州,MANJHOU,0.049,2023-09-20 13:45,120.817985,22.006177
屏東市,PINGTONG,0.044,2023-09-20 13:50,120.488616,22.693123
小琉球,LIUQIU,0.059,2023-09-20 13:50,120.374524,22.335336
基隆,KEELUNG,0.058,2023-09-20 13:50,121.714202,25.138729
頭城,TOUCHENG,0.058,2023-09-20 13:50,121.903213,24.94452
竹北,JHUBEI,0.057,2023-09-20 13:50,121.014274,24.828065
苗栗,MIAOLI,0.046,2023-09-20 13:50,120.842559,24.582355
鯉魚潭水庫,LIYUTAN,0.052,2023-09-20 13:50,120.773303,24.336334
合歡山,HEHUAN,0.126,2023-09-20 13:50,121.286935,24.161601
南投,NANTOU,0.063,2023-09-20 13:50,120.90805,23.881248
彰化,CHANGHUA,0.093,2023-09-20 13:50,120.535972,24.063375
雲林,YUNLIN,0.055,2023-09-20 13:50,120.530204,23.698671
麥寮,MAILIAO,0.048,2023-09-20 13:50,120.216385,23.794572
嘉義,CHIAYI,0.043,2023-09-20 13:50,120.432788,23.49595
貯存場大門口,HONGTOU,0.022,2023-09-20 13:50,121.590405,22.003442
蘭嶼氣象站,LWS,0.018,2023-09-20 13:45,121.558439,22.036938
